model,display_name,checkpoint,macro_f1
EX-1-BER-st-lr-5e-05-100pct-512-20260406-124204,EX-1: BERT STL,best_eval,0.4578
EX-1-BER-st-lr-5e-05-100pct-512-20260406-124204,EX-1: BERT STL,checkpoint-1176,0.4223
EX-1-BER-st-lr-5e-05-100pct-512-20260406-124204,EX-1: BERT STL,checkpoint-588,0.4546
EX-1-BER-st-lr-5e-05-100pct-512-20260406-124204,EX-1: BERT STL,checkpoint-980,0.4554
EX-2-DeB-st-lr-2.5e-05-100pct-512-20260407-170059,EX-2: DeBERTav3 STL (512),best_eval,0.4824
EX-2-DeB-st-lr-2.5e-05-100pct-512-20260407-170059,EX-2: DeBERTav3 STL (512),checkpoint-1176,0.487
EX-2-DeB-st-lr-2.5e-05-100pct-512-20260407-170059,EX-2: DeBERTav3 STL (512),checkpoint-1372,0.5383
EX-2-DeB-st-lr-2.5e-05-100pct-512-20260407-170059,EX-2: DeBERTav3 STL (512),checkpoint-784,0.4795
EX-3-Mod-st-lr-5e-05-100pct-512-20260406-133306,EX-3: ModernBERT STL (512),best_eval,0.4227
EX-3-Mod-st-lr-5e-05-100pct-512-20260406-133306,EX-3: ModernBERT STL (512),checkpoint-1176,0.4302
EX-3-Mod-st-lr-5e-05-100pct-512-20260406-133306,EX-3: ModernBERT STL (512),checkpoint-1372,0.473
EX-3-Mod-st-lr-5e-05-100pct-512-20260406-133306,EX-3: ModernBERT STL (512),checkpoint-784,0.4227
EX-4-ELE-st-lr-3e-05-100pct-512-20260407-184202,EX-4: ELECTRA STL,best_eval,0.4877
EX-4-ELE-st-lr-3e-05-100pct-512-20260407-184202,EX-4: ELECTRA STL,checkpoint-392,0.4857
EX-4-ELE-st-lr-3e-05-100pct-512-20260407-184202,EX-4: ELECTRA STL,checkpoint-784,0.5308
EX-4-ELE-st-lr-3e-05-100pct-512-20260407-184202,EX-4: ELECTRA STL,checkpoint-980,0.4534
EX-5-DeB-st-lr-5e-05-100pct-512-20260406-142049,EX-5: DeBERTa STL,best_eval,0.4752
EX-5-DeB-st-lr-5e-05-100pct-512-20260406-142049,EX-5: DeBERTa STL,checkpoint-1568,0.4752
EX-5-DeB-st-lr-5e-05-100pct-512-20260406-142049,EX-5: DeBERTa STL,checkpoint-1960,0.5039
EX-5-DeB-st-lr-5e-05-100pct-512-20260406-142049,EX-5: DeBERTa STL,checkpoint-2156,0.4678
EX-6-Mod-st-lr-5e-05-100pct-1024-20260406-165141,EX-6: ModernBERT STL (1024),best_eval,0.4696
EX-6-Mod-st-lr-5e-05-100pct-1024-20260406-165141,EX-6: ModernBERT STL (1024),checkpoint-1176,0.418
EX-6-Mod-st-lr-5e-05-100pct-1024-20260406-165141,EX-6: ModernBERT STL (1024),checkpoint-1372,0.4152
EX-6-Mod-st-lr-5e-05-100pct-1024-20260406-165141,EX-6: ModernBERT STL (1024),checkpoint-784,0.4696
EX-7-Mod-st-lr-5e-05-100pct-2048-20260406-181356,EX-7: ModernBERT STL (2048),best_eval,0.4906
EX-7-Mod-st-lr-5e-05-100pct-2048-20260406-181356,EX-7: ModernBERT STL (2048),checkpoint-1176,0.4523
EX-7-Mod-st-lr-5e-05-100pct-2048-20260406-181356,EX-7: ModernBERT STL (2048),checkpoint-1372,0.4808
EX-7-Mod-st-lr-5e-05-100pct-2048-20260406-181356,EX-7: ModernBERT STL (2048),checkpoint-784,0.4906
EX-8-Mod-st-lr-5e-05-100pct-1024-20260406-211422,EX-8: ModernBERT FROZEN (1024),best_eval,0.426
EX-8-Mod-st-lr-5e-05-100pct-1024-20260406-211422,EX-8: ModernBERT FROZEN (1024),checkpoint-2156,0.426
EX-8-Mod-st-lr-5e-05-100pct-1024-20260406-211422,EX-8: ModernBERT FROZEN (1024),checkpoint-2548,0.4687
EX-8-Mod-st-lr-5e-05-100pct-1024-20260406-211422,EX-8: ModernBERT FROZEN (1024),checkpoint-2744,0.474
EX-9-Mod-mt-λ1.0-lr-5e-05-100pct-1024-20260406-223702,EX-9: ModernBERT MTL (λ=1.0),best_eval,0.4144
EX-9-Mod-mt-λ1.0-lr-5e-05-100pct-1024-20260406-223702,EX-9: ModernBERT MTL (λ=1.0),checkpoint-196,0.4144
EX-9-Mod-mt-λ1.0-lr-5e-05-100pct-1024-20260406-223702,EX-9: ModernBERT MTL (λ=1.0),checkpoint-588,0.4246
EX-9-Mod-mt-λ1.0-lr-5e-05-100pct-1024-20260406-223702,EX-9: ModernBERT MTL (λ=1.0),checkpoint-784,0.3726
EX-10-Mod-mt-λ0.75-lr-5e-05-100pct-1024-20260406-232605,EX-10: ModernBERT MTL (λ=0.75),best_eval,0.3877
EX-10-Mod-mt-λ0.75-lr-5e-05-100pct-1024-20260406-232605,EX-10: ModernBERT MTL (λ=0.75),checkpoint-392,0.3877
EX-10-Mod-mt-λ0.75-lr-5e-05-100pct-1024-20260406-232605,EX-10: ModernBERT MTL (λ=0.75),checkpoint-784,0.451
EX-10-Mod-mt-λ0.75-lr-5e-05-100pct-1024-20260406-232605,EX-10: ModernBERT MTL (λ=0.75),checkpoint-980,0.4664
EX-11-Mod-mt-λ0.5-lr-5e-05-100pct-1024-20260407-002522,EX-11: ModernBERT MTL (λ=0.5),best_eval,0.3904
EX-11-Mod-mt-λ0.5-lr-5e-05-100pct-1024-20260407-002522,EX-11: ModernBERT MTL (λ=0.5),checkpoint-392,0.3904
EX-11-Mod-mt-λ0.5-lr-5e-05-100pct-1024-20260407-002522,EX-11: ModernBERT MTL (λ=0.5),checkpoint-784,0.4667
EX-11-Mod-mt-λ0.5-lr-5e-05-100pct-1024-20260407-002522,EX-11: ModernBERT MTL (λ=0.5),checkpoint-980,0.477
EX-12-Mod-mt-λ0.25-lr-5e-05-100pct-1024-20260407-012532,EX-12: ModernBERT MTL (λ=0.25),best_eval,0.5363
EX-12-Mod-mt-λ0.25-lr-5e-05-100pct-1024-20260407-012532,EX-12: ModernBERT MTL (λ=0.25),checkpoint-1176,0.4694
EX-12-Mod-mt-λ0.25-lr-5e-05-100pct-1024-20260407-012532,EX-12: ModernBERT MTL (λ=0.25),checkpoint-1372,0.4689
EX-12-Mod-mt-λ0.25-lr-5e-05-100pct-1024-20260407-012532,EX-12: ModernBERT MTL (λ=0.25),checkpoint-784,0.5363
EX-13-Mod-mt-λ0-lr-5e-05-100pct-1024-20260407-024836,EX-13: ModernBERT MTL (λ=0.0),best_eval,0.2684
EX-13-Mod-mt-λ0-lr-5e-05-100pct-1024-20260407-024836,EX-13: ModernBERT MTL (λ=0.0),checkpoint-1372,0.2867
EX-13-Mod-mt-λ0-lr-5e-05-100pct-1024-20260407-024836,EX-13: ModernBERT MTL (λ=0.0),checkpoint-1568,0.287
EX-13-Mod-mt-λ0-lr-5e-05-100pct-1024-20260407-024836,EX-13: ModernBERT MTL (λ=0.0),checkpoint-980,0.2684
EX-14-Mod-mt-λ0.25-lr-5e-05-100pct-2048-20260407-125024,EX-14: ModernBERT MTL 2048 (λ=0.25),best_eval,0.391
EX-14-Mod-mt-λ0.25-lr-5e-05-100pct-2048-20260407-125024,EX-14: ModernBERT MTL 2048 (λ=0.25),checkpoint-392,0.391
EX-14-Mod-mt-λ0.25-lr-5e-05-100pct-2048-20260407-125024,EX-14: ModernBERT MTL 2048 (λ=0.25),checkpoint-784,0.426
EX-14-Mod-mt-λ0.25-lr-5e-05-100pct-2048-20260407-125024,EX-14: ModernBERT MTL 2048 (λ=0.25),checkpoint-980,0.5514
